"","V1","match_id","match_date","match_time","outcome","closing_odds_outcome","home_opening","home_closing","draw_opening","draw_closing","away_opening","away_closing","home_opening_minus_closing","draw_opening_minus_closing","away_opening_minus_closing","home_min","home_max","home_range","draw_min","draw_max","draw_range","away_min","away_max","away_range"
"31",31,1212224,"2015-11-01","14:30:00","home",1.44,1.53,1.44,4.4,4.5,7.5,7.5,0.0900000000000001,-0.0999999999999996,0,1.44,1.53,0.0900000000000001,4.33,4.5,0.17,7,7.5,0.5
"32",32,1212476,"2015-11-01","17:00:00","home",1.53,1.55,1.53,4.2,4,6.5,7,0.02,0.2,-0.5,1.53,1.65,0.12,4,4.33,0.33,6,7,1
"33",33,1212714,"2015-11-02","21:00:00","home",1.44,1.36,1.44,5.25,4.75,9.5,8,-0.0799999999999998,0.5,1.5,1.36,1.44,0.0799999999999998,4.75,5.25,0.5,8,9.5,1.5
"34",34,1239291,"2015-11-07","13:45:00","away",3.25,2.15,2.1,3.7,3.5,3.3,3.25,0.0499999999999998,0.2,0.0499999999999998,2.1,2.3,0.2,3.4,3.7,0.3,3.2,3.4,0.2
"35",35,1239558,"2015-11-07","16:00:00","home",1.8,1.85,1.8,3.8,3.75,4.5,4.2,0.05,0.0499999999999998,0.3,1.8,1.85,0.05,3.75,3.8,0.0499999999999998,4.2,4.5,0.3
"36",36,1239559,"2015-11-07","16:00:00","home",1.29,1.33,1.29,5,5.25,12,10,0.04,-0.25,2,1.29,1.33,0.04,5,5.25,0.25,9,12,3
"37",37,1239560,"2015-11-07","16:00:00","home",2.5,2.5,2.5,3.5,3.2,3,2.88,0,0.3,0.12,2.45,2.5,0.0499999999999998,3.2,3.5,0.3,2.8,3.1,0.3
"38",38,1239561,"2015-11-07","16:00:00","away",1.73,5,5,4.1,3.5,1.75,1.73,0,0.6,0.02,5,5,0,3.5,4.1,0.6,1.73,1.83,0.1
"39",39,1239562,"2015-11-07","16:00:00","draw",3.3,2.55,2.5,3.5,3.3,2.9,2.8,0.0499999999999998,0.2,0.1,2.5,2.6,0.1,3.3,3.5,0.2,2.8,2.9,0.1
"40",40,1239828,"2015-11-07","18:30:00","home",3.5,4.33,3.5,3.5,3.4,1.95,2.05,0.83,0.1,-0.0999999999999999,3.4,4.33,0.93,3.4,3.6,0.2,1.95,2.1,0.15
"41",41,1251372,"2015-11-08","14:30:00","draw",4.5,7.5,6.5,5,4.5,1.44,1.44,1,0.5,0,6.5,7.5,1,4.5,5,0.5,1.44,1.44,0
"42",42,1251645,"2015-11-08","17:00:00","draw",4,1.75,1.62,4.1,4,4.75,5.25,0.13,0.0999999999999996,-0.5,1.62,1.75,0.13,3.8,4.2,0.4,4.75,5.25,0.5
"43",43,1251646,"2015-11-08","17:00:00","away",5.5,1.65,1.67,4.1,3.6,6,5.5,-0.02,0.5,0.5,1.62,1.67,0.0499999999999998,3.6,4.1,0.5,5.5,6,0.5
"44",44,1334286,"2015-11-21","13:45:00","away",1.83,4.2,4.75,3.3,3.4,2.05,1.83,-0.55,-0.1,0.22,4.2,4.75,0.55,3.3,3.5,0.2,1.83,2.05,0.22
"45",45,1334497,"2015-11-21","16:00:00","home",1.4,1.44,1.4,4.75,4.75,9,8,0.04,0,1,1.4,1.44,0.04,4.75,5,0.25,8,9,1
"46",46,1334498,"2015-11-21","16:00:00","home",1.57,1.67,1.57,4,4,6,6,0.0999999999999999,0,0,1.57,1.67,0.0999999999999999,4,4.2,0.2,6,6.5,0.5
"47",47,1334499,"2015-11-21","16:00:00","away",2.5,2.8,2.8,3.5,3.4,2.55,2.5,0,0.1,0.0499999999999998,2.75,2.88,0.13,3.4,3.6,0.2,2.5,2.63,0.13
"48",48,1334500,"2015-11-21","16:00:00","away",6,1.73,1.57,4,4,5.5,6,0.16,0,-0.5,1.57,1.73,0.16,4,4,0,5.5,7,1.5
"49",49,1334501,"2015-11-21","16:00:00","draw",3.5,2.25,1.83,3.3,3.5,3.6,4.5,0.42,-0.2,-0.9,1.83,2.25,0.42,3.3,3.6,0.3,3.6,4.5,0.9
"50",50,1334502,"2015-11-21","16:00:00","home",7,7,7,4.2,4.2,1.53,1.5,0,0,0.03,6,7,1,4.2,4.33,0.13,1.5,1.6,0.1
"51",51,1334757,"2015-11-21","18:30:00","away",5.5,1.8,1.62,3.75,4,4.8,5.5,0.18,-0.25,-0.7,1.62,1.8,0.18,3.75,4.1,0.35,4.8,5.75,0.95
"52",52,1341360,"2015-11-22","17:00:00","home",1.57,1.6,1.57,4.33,4,5.75,6,0.03,0.33,-0.25,1.57,1.65,0.0799999999999998,4,4.33,0.33,5.75,6.5,0.75
"53",53,1347121,"2015-11-23","21:00:00","away",7,1.57,1.57,4.2,4,6,7,0,0.2,-1,1.55,1.6,0.05,4,4.33,0.33,6,7,1
"54",54,1376395,"2015-11-28","16:00:00","away",2.8,2.8,2.55,3.25,3.2,2.88,2.8,0.25,0.0499999999999998,0.0800000000000001,2.55,2.8,0.25,3.1,3.3,0.2,2.8,2.88,0.0800000000000001
"55",55,1376396,"2015-11-28","16:00:00","draw",3.3,2.63,2.8,3.5,3.3,2.75,2.5,-0.17,0.2,0.25,2.63,3,0.37,3.3,3.6,0.3,2.4,2.75,0.35
"56",56,1376397,"2015-11-28","16:00:00","home",1.73,1.73,1.73,3.75,3.5,5.25,5,0,0.25,0.25,1.7,1.73,0.03,3.5,4,0.5,5,5.5,0.5
"57",57,1376398,"2015-11-28","16:00:00","home",1.53,1.6,1.53,4,4.33,6,5.5,0.0700000000000001,-0.33,0.5,1.5,1.67,0.17,4,4.5,0.5,5.5,6.5,1
"58",58,1376399,"2015-11-28","16:00:00","home",3.1,2.9,3.1,3.3,3.4,2.65,2.25,-0.2,-0.1,0.4,2.9,3.3,0.4,3.2,3.4,0.2,2.25,2.65,0.4
"59",59,1376656,"2015-11-28","18:30:00","draw",3.4,3.25,3.2,3.4,3.4,2.3,2.2,0.0499999999999998,0,0.0999999999999996,3,3.25,0.25,3.4,3.5,0.1,2.2,2.45,0.25
"60",60,1382295,"2015-11-29","13:00:00","draw",3.5,2.7,2.4,3.5,3.5,2.8,2.9,0.3,0,-0.1,2.4,2.7,0.3,3.4,3.5,0.1,2.8,2.9,0.1
"61",61,1382592,"2015-11-29","15:05:00","draw",3.5,2.15,1.95,3.4,3.5,3.9,4,0.2,-0.1,-0.1,1.95,2.2,0.25,3.4,3.5,0.1,3.75,4,0.25
"62",62,1382705,"2015-11-29","17:15:00","home",1.44,1.53,1.44,4.33,4.33,7,8,0.0900000000000001,0,-1,1.44,1.53,0.0900000000000001,4.33,4.75,0.42,7,8,1
"63",63,1382706,"2015-11-29","17:15:00","draw",4.33,5.75,5.5,4.2,4.33,1.6,1.57,0.25,-0.13,0.03,5.25,6,0.75,4,4.33,0.33,1.57,1.7,0.13
"64",64,1415069,"2015-12-05","13:45:00","home",5.5,5,5.5,3.9,3.75,1.73,1.62,-0.5,0.15,0.11,5,5.75,0.75,3.75,4.1,0.35,1.62,1.75,0.13
"65",65,1415244,"2015-12-05","16:00:00","home",1.22,1.3,1.22,6.5,6,11,12,0.0800000000000001,0.5,-1,1.22,1.3,0.0800000000000001,6,6.5,0.5,11,14,3
"66",66,1415245,"2015-12-05","16:00:00","draw",4.5,1.45,1.4,4.5,4.5,9,7.5,0.05,0,1.5,1.4,1.45,0.05,4.5,4.75,0.25,7.5,9.5,2
"67",67,1415246,"2015-12-05","16:00:00","draw",4.2,1.53,1.44,4.33,4.2,7,7.5,0.0900000000000001,0.13,-0.5,1.44,1.53,0.0900000000000001,4.2,4.5,0.3,7,8,1
